timestamp,open,high,low,close,volume
2025-09-16T04:00:00Z,24294.5,24403.75,24257.5,24284.0,231342.0
2025-09-17T04:00:00Z,24294.0,24313.0,24003.5,24222.5,256087.0
2025-09-18T04:00:00Z,24260.0,24569.25,24248.75,24460.25,160041.0
2025-09-19T04:00:00Z,24470.5,24625.5,24411.0,24568.0703125,1121790.0
2025-09-22T04:00:00Z,24851.5,25027.25,24748.5,25003.0,1050833.0
2025-09-23T04:00:00Z,24999.75,25026.25,24779.25,24827.25,1258663.0
2025-09-24T04:00:00Z,24839.75,24913.25,24628.0,24739.25,1262698.0
2025-09-25T04:00:00Z,24747.0,24792.5,24422.0,24629.25,1797039.0
2025-09-26T04:00:00Z,24640.0,24747.25,24520.0,24726.75,1562392.0
2025-09-29T04:00:00Z,24727.25,24975.0,24723.75,24837.75,1275661.0
2025-09-30T04:00:00Z,24812.0,24913.75,24722.5,24901.75,1464289.0
2025-10-01T04:00:00Z,24844.5,25037.0,24633.75,25017.5,1343193.0
2025-10-02T04:00:00Z,25009.5,25180.0,24993.75,25110.0,1279352.0
2025-10-03T04:00:00Z,25105.0,25197.0,24923.0,24992.0,1388150.0
2025-10-06T04:00:00Z,24994.0,25253.0,24994.0,25184.75,1125795.0
2025-10-07T04:00:00Z,25184.0,25274.75,24985.25,25039.25,1492282.0
2025-10-08T04:00:00Z,25055.0,25364.75,25026.25,25331.0,1147206.0
2025-10-09T04:00:00Z,25354.5,25393.0,25160.75,25289.25,1399246.0
2025-10-10T04:00:00Z,25284.75,25388.0,24157.75,24397.0,2417422.0
2025-10-13T04:00:00Z,24482.0,24965.0,24482.0,24922.25,2417422.0
2025-10-14T04:00:00Z,24905.0,25044.5,24423.25,24762.5,2344010.0
2025-10-15T04:00:00Z,24752.5,25117.75,24663.5,24924.5,2123740.0
2025-10-16T04:00:00Z,24939.0,25179.75,24643.25,24831.25,2575757.0
2025-10-17T04:00:00Z,24793.75,25054.25,24410.25,24986.5,2575701.0
2025-10-20T04:00:00Z,25067.0,25355.0,24956.0,25305.25,1327737.0
2025-10-21T04:00:00Z,25326.25,25368.0,25203.0,25294.75,1379441.0
2025-10-22T04:00:00Z,25277.0,25338.5,24805.25,25039.25,2087106.0
2025-10-23T04:00:00Z,25014.75,25295.0,24933.25,25254.0,1546949.0
2025-10-24T04:00:00Z,25285.0,25569.0,25275.5,25509.25,1227416.0
2025-10-27T04:00:00Z,25698.5,26026.0,25698.5,25963.75,980676.0
2025-10-28T04:00:00Z,26002.5,26232.0,25942.25,26163.5,1147214.0
2025-10-29T04:00:00Z,26180.25,26378.5,26047.5,26262.5,1667881.0
2025-10-30T04:00:00Z,26160.5,26399.5,25853.0,25882.75,2111173.0
2025-10-31T04:00:00Z,26156.0,26273.0,25887.75,26004.0,1778075.0
2025-11-03T05:00:00Z,26026.0,26265.75,26012.5,26103.25,0.0
2025-11-04T05:00:00Z,26105.5,26105.5,25517.0,25575.25,2019607.0
2025-11-05T05:00:00Z,25545.0,25878.5,25282.75,25746.25,1765749.0
2025-11-06T05:00:00Z,25732.0,25823.75,25197.25,25244.25,2273397.0
2025-11-07T05:00:00Z,25311.0,25354.75,24709.0,25166.25,2570614.0
2025-11-10T05:00:00Z,25319.75,25760.0,25268.75,25714.5,1760959.0
2025-11-11T05:00:00Z,25721.0,25768.75,25478.5,25640.75,1584949.0
2025-11-12T05:00:00Z,25676.5,25830.5,25488.75,25623.75,1747671.0
2025-11-13T05:00:00Z,25626.25,25721.75,25002.0,25094.75,2598189.0
2025-11-14T05:00:00Z,25100.0,25293.5,24626.0,25094.0,2708210.0
2025-11-17T05:00:00Z,25144.0,25362.0,24732.0,24879.0,2602375.0
2025-11-18T05:00:00Z,24904.75,24959.75,24380.0,24595.75,3083683.0
2025-11-19T05:00:00Z,24547.0,24988.0,24446.5,24721.75,2874160.0
2025-11-20T05:00:00Z,24968.75,25310.0,24069.75,24131.5,3232477.0
2025-11-21T05:00:00Z,24096.75,24596.5,23904.0,24305.5,2949003.0
2025-11-24T05:00:00Z,24449.75,24993.25,24361.25,24948.25,1913851.0
2025-11-25T05:00:00Z,24973.25,25135.75,24602.0,25085.5,2107568.0
2025-11-26T05:00:00Z,25070.0,25375.5,25061.75,25302.25,1666472.0
2025-11-28T14:30:00Z,25316.75,25500.25,25285.75,25482.0,578323.0
2025-12-01T05:00:00Z,25484.0,25542.25,25193.5,25391.25,1823784.0
2025-12-02T05:00:00Z,25422.75,25670.0,25324.0,25606.0,1829989.0
2025-12-03T05:00:00Z,25613.5,25685.75,25420.75,25657.5,1571511.0
2025-12-04T05:00:00Z,25649.75,25732.5,25487.0,25622.75,1614386.0
2025-12-05T05:00:00Z,25631.0,25867.75,25579.0,25732.0,1534182.0
2025-12-08T05:00:00Z,25748.5,25860.75,25563.75,25664.0,1391778.0
2025-12-09T05:00:00Z,25713.0,25738.5,25560.0,25699.75,1201427.0
2025-12-10T05:00:00Z,25681.0,25869.75,25528.25,25798.0,1702452.0
2025-12-11T05:00:00Z,25777.75,25862.5,25382.0,25713.5,1951454.0
2025-12-12T05:00:00Z,25719.5,25733.75,25117.75,25213.5,2196739.0
2025-12-15T05:00:00Z,25214.5,25410.0,25034.5,25093.25,916589.0
2025-12-16T05:00:00Z,25100.0,25202.25,24826.0,25139.0,541410.0
2025-12-17T05:00:00Z,25100.0,25266.0,24658.75,24668.75,302043.0
2025-12-18T05:00:00Z,24740.0,25178.25,24674.5,25028.25,258542.0
2025-12-19T05:00:00Z,24987.5,25161.75,24976.5,25132.7890625,1365859.0
2025-12-22T05:00:00Z,25635.0,25795.0,25629.5,25692.25,1049079.0
2025-12-23T05:00:00Z,25701.25,25822.25,25608.5,25812.25,901913.0
2025-12-24T14:30:00Z,25812.0,25892.25,25777.5,25880.5,425607.0
2025-12-26T05:00:00Z,25870.0,25935.0,25834.25,25863.25,656010.0
2025-12-29T05:00:00Z,25869.0,25893.5,25647.75,25739.75,1110632.0
2025-12-30T05:00:00Z,25747.5,25794.0,25668.25,25675.25,899902.0
2025-12-31T05:00:00Z,25678.25,25718.25,25426.5,25456.75,1010770.0
2026-01-02T05:00:00Z,25460.0,25803.5,25265.25,25385.25,1683007.0
2026-01-05T05:00:00Z,25430.0,25708.0,25406.0,25577.75,1366657.0
2026-01-06T05:00:00Z,25581.0,25837.75,25527.0,25822.0,1369044.0
2026-01-07T05:00:00Z,25834.5,25998.0,25727.0,25838.75,1384630.0
2026-01-08T05:00:00Z,25839.25,25850.25,25569.5,25687.5,1641094.0
2026-01-09T05:00:00Z,25720.5,25986.0,25615.75,25938.25,1603394.0
2026-01-12T05:00:00Z,25946.5,26020.5,25632.75,25956.75,1367059.0
2026-01-13T05:00:00Z,25948.0,26046.25,25803.25,25906.0,1820023.0
2026-01-14T05:00:00Z,25900.0,25926.0,25421.25,25631.0,2143334.0
2026-01-15T05:00:00Z,25597.25,25954.25,25562.5,25705.75,1813787.0
2026-01-16T05:00:00Z,25720.0,25891.25,25590.25,25689.0,1531448.0
2026-01-20T05:00:00Z,25556.0,25559.0,25095.25,25129.25,3184431.0
2026-01-21T05:00:00Z,25147.0,25653.25,25026.0,25471.0,2702002.0
