timestamp,open,high,low,close,volume
2019-04-29T04:00:00Z,7865.0,7865.0,7865.0,7865.0,91921.0
2019-05-06T04:00:00Z,7865.0,7865.0,7435.5,7610.25,773178.0
2019-05-13T04:00:00Z,7601.0,7641.25,7286.0,7511.5,644460.0
2019-05-20T04:00:00Z,7512.75,7559.5,7268.25,7315.5,844986.0
2019-05-27T04:00:00Z,7314.75,7371.5,7129.5,7133.5,730626.0
2019-06-03T04:00:00Z,7114.75,7452.5,6940.5,7419.5,991123.0
2019-06-10T04:00:00Z,7461.25,7601.0,7421.5,7478.25,589353.0
2019-06-17T04:00:00Z,7483.75,7792.75,7480.75,7723.60986328125,244118.0
2019-06-24T04:00:00Z,7744.0,7794.0,7609.5,7693.75,694433.0
2019-07-01T04:00:00Z,7750.25,7909.25,7750.25,7851.5,571325.0
2019-07-08T04:00:00Z,7855.0,7967.75,7743.25,7960.0,953166.0
2019-07-15T04:00:00Z,7956.25,8001.5,7815.0,7842.75,1068733.0
2019-07-22T04:00:00Z,7826.75,8051.75,7825.5,8019.75,1135028.0
2019-07-29T04:00:00Z,8015.5,8031.75,7650.0,7702.25,1395576.0
2019-08-05T04:00:00Z,7706.0,7738.5,7225.0,7660.25,1858786.0
2019-08-12T04:00:00Z,7654.0,7789.25,7388.5,7611.75,1808227.0
2019-08-19T04:00:00Z,7615.0,7782.25,7448.0,7504.5,1092277.0
2019-08-26T04:00:00Z,7454.0,7770.25,7311.75,7690.75,1074917.0
2019-09-02T04:00:00Z,7644.0,7895.5,7581.5,7857.75,818915.0
2019-09-09T04:00:00Z,7858.25,7982.0,7744.25,7886.0,710934.0
2019-09-16T04:00:00Z,7864.25,7950.75,7776.5,7899.47998046875,232973.0
2019-09-23T04:00:00Z,7834.5,7904.25,7640.75,7701.25,1102050.0
2019-09-30T04:00:00Z,7727.75,7841.5,7474.75,7767.25,1368636.0
2019-10-07T04:00:00Z,7733.25,7918.25,7583.0,7859.0,1089030.0
2019-10-14T04:00:00Z,7853.5,7994.75,7807.0,7880.75,836394.0
2019-10-21T04:00:00Z,7875.75,8041.5,7810.5,8035.75,930968.0
2019-10-28T04:00:00Z,8048.0,8167.75,8020.75,8160.25,921365.0
2019-11-04T05:00:00Z,8164.0,8282.25,8161.25,8257.25,800929.0
2019-11-11T05:00:00Z,8258.5,8323.75,8206.5,8318.75,722138.0
2019-11-18T05:00:00Z,8319.5,8379.75,8230.75,8280.5,943237.0
2019-11-25T05:00:00Z,8287.5,8458.75,8287.5,8417.5,478125.0
2019-12-02T05:00:00Z,8424.0,8456.75,8168.5,8400.25,1087278.0
2019-12-09T05:00:00Z,8401.5,8523.0,8297.0,8494.0,756288.0
2019-12-16T05:00:00Z,8507.25,8742.75,8503.0,8707.4599609375,156764.0
2019-12-23T05:00:00Z,8710.25,8843.25,8705.0,8783.25,299085.0
2019-12-30T05:00:00Z,8780.5,8907.75,8691.0,8810.0,768655.0
2020-01-06T05:00:00Z,8784.5,9055.25,8678.25,8978.25,1343530.0
2020-01-13T05:00:00Z,8978.75,9189.25,8978.75,9174.5,1008618.0
2020-01-20T05:00:00Z,9173.75,9287.5,9109.75,9144.5,994173.0
2020-01-27T05:00:00Z,9098.25,9249.0,8926.0,8997.75,1978768.0
2020-02-03T05:00:00Z,8983.75,9477.0,8975.0,9409.5,1437593.0
2020-02-10T05:00:00Z,9401.25,9659.25,9330.75,9632.25,1262065.0
2020-02-17T05:00:00Z,9632.0,9763.0,9411.5,9458.0,1446090.0
2020-02-24T05:00:00Z,9365.75,9365.75,8124.25,8454.0,5227687.0
2020-03-02T05:00:00Z,8376.25,9003.0,8248.5,8503.25,4415347.0
2020-03-09T04:00:00Z,8418.25,8418.25,6942.5,7915.75,3821061.0
