timestamp,open,high,low,close,volume,contract,expiry
2024-12-09T05:00:00Z,22689.25,22689.25,22517.25,22517.25,0.0,MNQH26.CME,2026-03-20
2024-12-10T05:00:00Z,22486.75,22486.75,22437.25,22437.25,0.0,MNQH26.CME,2026-03-20
2024-12-11T05:00:00Z,22904.0,22904.0,22827.0,22827.0,0.0,MNQH26.CME,2026-03-20
2024-12-12T05:00:00Z,22757.75,22757.75,22683.0,22683.0,0.0,MNQH26.CME,2026-03-20
2024-12-13T05:00:00Z,22919.25,22919.25,22843.0,22843.0,0.0,MNQH26.CME,2026-03-20
2024-12-16T05:00:00Z,23236.25,23236.25,23176.5,23176.5,0.0,MNQH26.CME,2026-03-20
2024-12-17T05:00:00Z,23136.0,23136.0,23086.25,23086.25,0.0,MNQH26.CME,2026-03-20
2024-12-18T05:00:00Z,22322.25,22322.25,22273.5,22273.5,0.0,MNQH26.CME,2026-03-20
2024-12-19T05:00:00Z,22204.0,22204.0,22145.25,22145.25,0.0,MNQH26.CME,2026-03-20
2024-12-20T05:00:00Z,22395.25,22395.25,22338.25,22338.25,0.0,MNQH26.CME,2026-03-20
2024-12-23T05:00:00Z,22601.0,22601.0,22526.25,22526.25,0.0,MNQH26.CME,2026-03-20
2024-12-24T14:30:00Z,22898.25,22898.25,22801.25,22801.25,0.0,MNQH26.CME,2026-03-20
2024-12-26T05:00:00Z,22877.75,22877.75,22783.25,22783.25,0.0,MNQH26.CME,2026-03-20
2024-12-27T05:00:00Z,22561.5,22567.0,22561.5,22567.0,0.0,MNQH26.CME,2026-03-20
2024-12-30T05:00:00Z,22265.0,22271.0,22265.0,22271.0,0.0,MNQH26.CME,2026-03-20
2024-12-31T05:00:00Z,22079.0,22084.0,22079.0,22084.0,0.0,MNQH26.CME,2026-03-20
2025-01-02T05:00:00Z,22007.5,22023.0,22007.5,22023.0,0.0,MNQH26.CME,2026-03-20
2025-01-03T05:00:00Z,22395.75,22395.75,22378.5,22378.5,0.0,MNQH26.CME,2026-03-20
2025-01-06T05:00:00Z,22616.25,22646.0,22616.25,22646.0,0.0,MNQH26.CME,2026-03-20
2025-01-07T05:00:00Z,22219.0,22261.0,22219.0,22261.0,0.0,MNQH26.CME,2026-03-20
2025-01-08T05:00:00Z,22228.25,22260.0,22228.25,22260.0,0.0,MNQH26.CME,2026-03-20
2025-01-10T05:00:00Z,21872.25,21914.75,21872.25,21914.75,0.0,MNQH26.CME,2026-03-20
2025-01-13T05:00:00Z,21800.5,21846.25,21800.5,21846.25,1.0,MNQH26.CME,2026-03-20
2025-01-14T05:00:00Z,21990.75,21990.75,21762.0,21818.0,1.0,MNQH26.CME,2026-03-20
2025-01-15T05:00:00Z,22266.0,22301.75,22266.0,22301.75,0.0,MNQH26.CME,2026-03-20
2025-01-16T05:00:00Z,22425.5,22425.5,22116.0,22150.25,1.0,MNQH26.CME,2026-03-20
2025-01-17T05:00:00Z,22470.0,22495.5,22470.0,22495.5,0.0,MNQH26.CME,2026-03-20
2025-01-21T05:00:00Z,22596.25,22611.25,22596.25,22611.25,0.0,MNQH26.CME,2026-03-20
2025-01-22T05:00:00Z,22900.0,22911.0,22900.0,22911.0,0.0,MNQH26.CME,2026-03-20
2025-01-23T05:00:00Z,22938.25,22948.25,22938.25,22948.25,0.0,MNQH26.CME,2026-03-20
2025-01-24T05:00:00Z,22811.5,22820.75,22811.5,22820.75,0.0,MNQH26.CME,2026-03-20
2025-01-27T05:00:00Z,22127.25,22162.0,22127.25,22162.0,0.0,MNQH26.CME,2026-03-20
2025-01-28T05:00:00Z,22470.75,22485.25,22470.75,22485.25,0.0,MNQH26.CME,2026-03-20
2025-01-29T05:00:00Z,22401.25,22428.5,22401.25,22428.5,0.0,MNQH26.CME,2026-03-20
2025-01-30T05:00:00Z,22516.75,22530.5,22516.75,22530.5,0.0,MNQH26.CME,2026-03-20
2025-01-31T05:00:00Z,22840.0,22840.0,22487.75,22496.5,10.0,MNQH26.CME,2026-03-20
2025-02-03T05:00:00Z,22283.5,22310.25,22283.5,22310.25,0.0,MNQH26.CME,2026-03-20
2025-02-04T05:00:00Z,22565.75,22578.75,22565.75,22578.75,0.0,MNQH26.CME,2026-03-20
2025-02-05T05:00:00Z,22658.75,22673.0,22658.75,22673.0,0.0,MNQH26.CME,2026-03-20
2025-02-06T05:00:00Z,22770.75,22781.75,22770.75,22781.75,0.0,MNQH26.CME,2026-03-20
2025-02-07T05:00:00Z,22480.5,22500.0,22480.5,22500.0,0.0,MNQH26.CME,2026-03-20
2025-02-10T05:00:00Z,22750.0,22758.0,22745.75,22758.0,1.0,MNQH26.CME,2026-03-20
2025-02-11T05:00:00Z,22684.5,22697.5,22684.5,22697.5,0.0,MNQH26.CME,2026-03-20
2025-02-12T05:00:00Z,22500.0,22715.75,22500.0,22715.75,1.0,MNQH26.CME,2026-03-20
2025-02-13T05:00:00Z,22800.0,23032.0,22800.0,23025.75,2.0,MNQH26.CME,2026-03-20
2025-02-14T05:00:00Z,23132.0,23132.0,23111.5,23111.5,1.0,MNQH26.CME,2026-03-20
2025-02-18T05:00:00Z,23111.5,23147.0,23111.5,23147.0,2.0,MNQH26.CME,2026-03-20
2025-02-19T05:00:00Z,23165.75,23165.75,23165.75,23165.75,0.0,MNQH26.CME,2026-03-20
2025-02-20T05:00:00Z,23045.5,23055.0,23045.5,23055.0,0.0,MNQH26.CME,2026-03-20
2025-02-21T05:00:00Z,22560.0,22586.25,22560.0,22586.25,0.0,MNQH26.CME,2026-03-20
2025-02-24T05:00:00Z,22448.0,22448.0,22291.0,22328.0,1.0,MNQH26.CME,2026-03-20
